IP_Equipo;Enlace_ID;Enlace;Identificador
10.127.41.106;Dir#1A__Ch#1;LTE05 - LTE37;A
10.127.41.106;Dir#1B__Ch#3;LTE05 - LTE37;B
10.127.41.118;Dir#1A__Ch#1;LTE07 - LTE32;A
10.127.41.118;Dir#1B__Ch#3;LTE07 - LTE32;B
10.127.41.122;Dir#1A__Ch#1;LTE08 - LTE36;A
10.127.41.122;Dir#1B__Ch#3;LTE08 - LTE36;B
10.127.41.54;Dir#1A__Ch#1;LTE05 - LTE33;A
10.127.41.54;Dir#1B__Ch#3;LTE05 - LTE33;B
10.127.41.59;Dir#1A__Ch#1;LTE32 - LTE35;A
10.127.41.59;Dir#1B__Ch#3;LTE32 - LTE35;B
10.127.41.60;Dir#1A__Ch#1;LTE32 - LTE34;A
10.127.41.60;Dir#1B__Ch#3;LTE32 - LTE34;B
10.127.41.67;Dir#1A__Ch#1;LTE33 - LTE35;A
10.127.41.67;Dir#1B__Ch#3;LTE33 - LTE35;B
10.127.41.74;Dir#1A__Ch#1;LTE34 - LTE127;A
10.127.41.74;Dir#1B__Ch#3;LTE34 - LTE127;B
10.127.41.91;Dir#1A__Ch#1;LTE36 - LTE111;A
10.127.41.91;Dir#1B__Ch#3;LTE36 - LTE111;B
10.127.44.128;Slot3_Radio_PM_Dir_Dir#3.1__Ch#1;LTE18 - LTE05;A
10.127.44.128;Slot3_Radio_PM_Dir_Dir#3.2__Ch#1;LTE18 - LTE05;B
10.127.44.129;Slot3_Radio_PM_Dir_Dir#3.1__Ch#1;LTE17 - LTE18;A
10.127.44.129;Slot3_Radio_PM_Dir_Dir#3.2__Ch#1;LTE17 - LTE18;B
10.127.44.129;Slot3_Radio_PM_Dir_Dir#3.3__Ch#1;LTE17 - LTE18;C
10.127.44.129;Slot3_Radio_PM_Dir_Dir#3.4__Ch#1;LTE17 - LTE18;D
10.127.44.131;Slot4_Radio_PM_Dir_Dir#4.1__Ch#1;LTE14 - LTE15;A
10.127.44.131;Slot4_Radio_PM_Dir_Dir#4.2__Ch#1;LTE14 - LTE15;B
10.127.44.135;Slot3_Radio_PM_Dir_Dir#3.3__Ch#1;LTE12 - LTE08;A
10.127.44.135;Slot3_Radio_PM_Dir_Dir#3.4__Ch#1;LTE12 - LTE08;B
10.127.44.135;Slot5_Radio_PM_Dir_Dir#5.1__Ch#1;LTE12 - LTE05;A
10.127.44.135;Slot5_Radio_PM_Dir_Dir#5.2__Ch#1;LTE12 - LTE05;B
10.127.44.135;Slot5_Radio_PM_Dir_Dir#5.3__Ch#1;LTE12 - LTE05;C
10.127.44.135;Slot5_Radio_PM_Dir_Dir#5.4__Ch#1;LTE12 - LTE05;D
10.127.44.135;Slot6_Radio_PM_Dir_Dir#6.1__Ch#1;LTE12 - LTE13;A
10.127.44.135;Slot6_Radio_PM_Dir_Dir#6.2__Ch#1;LTE12 - LTE13;B
10.127.44.135;Slot6_Radio_PM_Dir_Dir#6.3__Ch#1;LTE12 - LTE13;C
10.127.44.135;Slot6_Radio_PM_Dir_Dir#6.4__Ch#1;LTE12 - LTE13;D
10.127.44.135;Slot7_Radio_PM_Dir_Dir#7.1__Ch#1;LTE12 - LTE14;A
10.127.44.135;Slot7_Radio_PM_Dir_Dir#7.2__Ch#1;LTE12 - LTE14;B
10.127.44.136;Slot3_Radio_PM_Dir_Dir#3.1__Ch#1;LTE18 - LTE05;A
10.127.44.136;Slot3_Radio_PM_Dir_Dir#3.2__Ch#1;LTE18 - LTE05;B
10.127.44.136;Slot3_Radio_PM_Dir_Dir#3.3__Ch#1;LTE18 - LTE05;C
10.127.44.136;Slot3_Radio_PM_Dir_Dir#3.4__Ch#1;LTE18 - LTE05;D
10.127.44.136;Slot6_Radio_PM_Dir_Dir#6.1__Ch#1;LTE05 - LTE06;A
10.127.44.136;Slot6_Radio_PM_Dir_Dir#6.2__Ch#1;LTE05 - LTE06;B
10.127.44.139;Slot3_Radio_PM_Dir_Dir#3.1__Ch#1;LTE05 - LTE07;A
10.127.44.139;Slot3_Radio_PM_Dir_Dir#3.2__Ch#1;LTE05 - LTE07;B
10.127.44.139;Slot4_Radio_PM_Dir_Dir#4.1__Ch#1;LTE05 - LTE15;A
10.127.44.139;Slot4_Radio_PM_Dir_Dir#4.2__Ch#1;LTE05 - LTE15;B
